0, 1000, 0, 3100, 744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1000, 0, 687, 0, 0, 1153, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 687, 0, 1500, 0, 0, 0, 0, 980, 1479, 0, 0, 0, 0, 
3100, 0, 1500, 0, 1310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
744, 0, 0, 1310, 0, 1649, 0, 0, 0, 1416, 0, 0, 839, 0, 
0, 1153, 0, 0, 1649, 0, 1545, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 1545, 0, 2500, 1987, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 2500, 0, 0, 0, 0, 835, 0, 1221, 
0, 0, 980, 0, 0, 0, 1987, 0, 0, 1081, 1676, 0, 0, 0, 
0, 0, 1479, 0, 1416, 0, 0, 0, 1081, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 1676, 0, 0, 3000, 688, 684, 
0, 0, 0, 0, 0, 0, 0, 835, 0, 0, 3000, 0, 1862, 1733, 
0, 0, 0, 0, 839, 0, 0, 0, 0, 0, 688, 1862, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 1221, 0, 0, 684, 1733, 0, 0, 
