0, 1310, 1500, 3900, 0, 0, 1350, 0, 0, 0, 0, 
1310, 0, 5550, 0, 3900, 0, 0, 4500, 0, 0, 0, 
1500, 5550, 0, 1100, 2100, 3900, 0, 0, 0, 0, 0, 
3900, 0, 1100, 0, 0, 0, 3400, 1090, 0, 1100, 0, 
0, 3900, 2100, 0, 0, 2200, 0, 3000, 0, 0, 5500, 
0, 0, 3900, 0, 2200, 0, 1300, 4000, 3500, 0, 0, 
1350, 0, 0, 3400, 0, 1300, 0, 0, 5650, 3200, 0, 
0, 4500, 0, 1090, 3000, 4000, 0, 0, 1000, 0, 5000, 
0, 0, 0, 0, 0, 3500, 5650, 1000, 0, 1300, 3200, 
0, 0, 0, 1100, 0, 0, 3200, 0, 1300, 0, 5000, 
0, 0, 0, 0, 5500, 0, 0, 5000, 3200, 5000, 0, 
